cdr type,cdr datetime,call duration,last calling cellid,user_id
MoCallRecord,20180713112555,,35259.0,6935167058979768584
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112604,,,3384066821637594455
MoCallRecord,20180713112523,,34714.0,7202278714213724213
OutGatewayRecord,20180713112523,,34714.0,7202278714213724213
MtSMSRecord,20180713112603,,,6766153947758062725
MtSMSRecord,20180713112603,,,3384066821637594455
MoCallRecord,20180713112537,,10067.0,1599809111044540981
OutGatewayRecord,20180713112537,,10067.0,1599809111044540981
MtSMSRecord,20180713112603,,,6766153947758062725
MtSMSRecord,20180713112603,,,3384066821637594455
MtCallRecord,20180713112518,,,6831127776956036884
MtSMSRecord,20180713112603,,,3384066821637594455
MoCallRecord,20180713112518,,22453.0,6831127776956036884
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112604,,,3384066821637594455
MoCallRecord,20180713112516,,22162.0,2683038107288736073
MtCallRecord,20180713112516,,,2683038107288736073
MtSMSRecord,20180713112604,,,3384066821637594455
IncGatewayRecord,20180713112542,,34735.0,967362991605615248
MtCallRecord,20180713112542,,,967362991605615248
MoSMSRecord,20180713112604,,20122.0,3868629317770236607
MtSMSRecord,20180713112603,,,4561447000157785583
MoCallRecord,20180713111756,,20822.0,8033974468920377765
MtCallRecord,20180713111756,,,8033974468920377765
MoCallRecord,20180713112513,,34736.0,1713663677847572159
MtCallRecord,20180713112513,,,1713663677847572159
MtSMSRecord,20180713112604,,,6213509167247245458
MoCallRecord,20180713112558,,14252.0,8330456043905273340
MoCallRecord,20180713112538,,14323.0,1306217767061405987
MtSMSRecord,20180713112603,,,2360232289363115828
MtCallRecord,20180713112449,,,1423423086147119712
MoCallRecord,20180713112449,,12221.0,1423423086147119712
MtSMSRecord,20180713112603,,,3384066821637594455
MoCallRecord,20180713112603,,20843.0,8126778497426835281
MtCallRecord,20180713112603,,,8126778497426835281
MoCallRecord,20180713112538,,20128.0,889451342316042679
MtCallRecord,20180713112538,,,889451342316042679
MtSMSRecord,20180713112604,,,1215269429329646090
MoCallRecord,20180713112515,,14051.0,4528208947353426821
MtCallRecord,20180713112515,,,4528208947353426821
MoCallRecord,20180713112416,,34194.0,6821975917372390381
MtCallRecord,20180713112416,,,6821975917372390381
MoSMSRecord,20180713112604,,12162.0,6805380473134475981
MtCallRecord,20180713112530,,,8436321508807728859
MoCallRecord,20180713112530,,10083.0,8436321508807728859
MtSMSRecord,20180713112603,,,7566424924061690786
MtCallRecord,20180713112457,,,8003016918944473881
MoCallRecord,20180713112457,,14201.0,8003016918944473881
MtSMSRecord,20180713112604,,,3384066821637594455
MoCallRecord,20180713112531,,21051.0,997875574008791122
MoCallRecord,20180713112556,,20783.0,5511536553483215811
MtCallRecord,20180713112556,,,5511536553483215811
MoCallRecord,20180713112525,,10261.0,3964255107701604039
MtCallRecord,20180713112525,,,3964255107701604039
MoSMSRecord,20180713112603,,34304.0,6880773111478847421
MtSMSRecord,20180713112603,,,5056200888469881237
MtSMSRecord,20180713112603,,,7304286893272605299
MoCallRecord,20180713112556,,10301.0,7911726910738651509
MtSMSRecord,20180713112603,,,3384066821637594455
